hasfile,hasfiles,type,subtype,team,channel,user,username,text,ts,threadts,intro,starred,wibblr,appid,botid,botlink,displayasbot,upload,parentuserid,clientmsgid,unfurllinks,unfurlmedia,threadbroadcast,locked,subscribed,hidden,nonotifications,chunkindex,chunkcount,ingestts,workspaceid
false,false,message,,T01ABC123,C01INC001,U001,alice.johnson,🚨 SEV-1 Incident: Database connection pool exhausted in production,2026-03-10 08:15:00,,,false,false,false,,,,,false,,true,true,false,false,false,false,false,1,1,2026-03-10 08:15:01,W01MAIN
false,false,message,,T01ABC123,C01INC001,U002,bob.smith,Investigating now. Seeing connection timeouts across all app servers.,2026-03-10 08:17:30,2026-03-10 08:15:00,,false,false,false,,,,,false,,true,true,false,false,true,false,false,1,1,2026-03-10 08:17:31,W01MAIN
true,false,message,file_share,T01ABC123,C01INC001,U003,carol.davis,Attaching the connection pool metrics dashboard screenshot,2026-03-10 08:20:00,2026-03-10 08:15:00,,false,false,false,,,,false,true,,true,true,false,false,true,false,false,1,1,2026-03-10 08:20:01,W01MAIN
false,false,message,,T01ABC123,C01INC001,U004,dave.wilson,Root cause identified: a rogue query was holding 200 connections. Killed it.,2026-03-10 08:45:00,2026-03-10 08:15:00,,false,false,false,,,,,false,,true,true,false,false,true,false,false,1,1,2026-03-10 08:45:01,W01MAIN
false,false,message,,T01ABC123,C01INC001,U001,alice.johnson,Confirmed service is recovering. Marking incident as mitigated.,2026-03-10 09:00:00,2026-03-10 08:15:00,,false,false,false,,,,,false,,true,true,false,false,true,false,false,1,1,2026-03-10 09:00:01,W01MAIN
false,false,message,,T01ABC123,C01INC002,U005,eve.martinez,SEV-2 Incident: Payment processing latency spike detected,2026-03-11 14:30:00,,,false,false,false,,,,,false,,true,true,false,false,false,false,false,1,1,2026-03-11 14:30:01,W01MAIN
false,false,message,,T01ABC123,C01INC002,U002,bob.smith,Checking payment gateway logs now,2026-03-11 14:32:00,2026-03-11 14:30:00,,false,false,false,,,,,false,,true,true,false,false,true,false,false,1,1,2026-03-11 14:32:01,W01MAIN
false,false,message,bot_message,T01ABC123,C01INC002,,pagerduty-bot,Alert: Payment API p99 latency exceeded 5s threshold,2026-03-11 14:28:00,,,false,false,A01PD,B01PD,,true,false,,,true,true,false,false,false,false,false,1,1,2026-03-11 14:28:01,W01MAIN
true,true,message,file_share,T01ABC123,C01INC002,U006,frank.lee,Here are the Grafana dashboards and API logs,2026-03-11 14:40:00,2026-03-11 14:30:00,,false,false,false,,,,false,true,,true,true,false,false,true,false,false,1,1,2026-03-11 14:40:01,W01MAIN
false,false,message,,T01ABC123,C01INC002,U005,eve.martinez,Resolved. Third-party gateway had a regional degradation. Failover to secondary provider complete.,2026-03-11 15:10:00,2026-03-11 14:30:00,,false,false,false,,,,,false,,true,true,false,false,true,false,false,1,1,2026-03-11 15:10:01,W01MAIN
